"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.7.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","84.59","0.9367261506","-"
"Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_concoct_out.45.contigs__","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","66.13","0.8465586134","-"
"Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_maxbin.047.contigs__","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__BM714;g__BM714;s__","-","-","-","-","-","GCA_002869095.1","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__BM714;g__BM714;s__BM714 sp002869095","86.26","0.66","taxonomic classification defined by topology and ANI","-","-","66.89","0.9747000934","Genome has more than 17.5% of markers with multiple hits"
"Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.19.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","94.1","0.8160234946","-"
"Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.27.contigs__","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__","-","-","-","-","-","GCF_013389365.1","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__Desulfobacter latus","91.1","0.83","taxonomic classification defined by topology and ANI","-","GCF_004319545.1, s__Desulfobacter hydr...","86.6","0.9920222262","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_concoct_out.36.contigs__","d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Roseimaritima;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_008065135.1, s__Roseimaritima ulva...","76.83","0.9542852392","-"
"Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_concoct_out.85.contigs__","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Dethiosulfatibacteraceae;g__UBA8670;s__","-","-","-","-","-","GCA_011390775.1","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Dethiosulfatibacteraceae;g__UBA8670;s__UBA8670 sp011390775","82.9","0.71","taxonomic classification defined by topology and ANI","-","GCA_003539375.1, s__UBA8670 sp00353937...","93.98","0.9673079472","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.30.contigs__","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","85.98","0.878189585","-"
"Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.40.contigs__","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","94.98","0.7042932481","-"
"Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.58.contigs__","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","67.08","0.7411155734","-"
"Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_concoct_out.16.contigs__","d__Bacteria;p__Mcinerneyibacteriota;c__Mcinerneyibacteria;o__Mcinerneyibacteriales;f__Mcinerneyibacteriaceae;g__Mcinerneyibacterium;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","73.44","0.8570559626","-"
"Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_concoct_out.67.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__","-","-","-","-","-","GCF_002813635.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__Spiribacter roseus","85.36","0.88","taxonomic classification defined by topology and ANI","-","GCF_004217415.1, s__Spiribacter vilame...","93.87","0.9807057154","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_concoct_out.79.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__","-","-","-","-","-","GCF_009669325.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius bejariae","86.85","0.78","taxonomic classification defined by topology and ANI","-","GCF_900142665.1, s__Roseovarius pacifi...","65.73","0.9815349243","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_metabat.23.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__","-","-","-","-","-","GCF_000319575.2","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__Spiribacter salinus","84.27","0.73","taxonomic classification defined by topology and ANI","-","GCF_002813635.1, s__Spiribacter roseus...","73.16","0.9869790488","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.119.contigs__","d__Bacteria;p__Thermotogota;c__Thermotogae;o__MWEM01;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","88.8","0.7004316488","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.29.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__","-","-","-","-","-","GCF_001187785.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella marina","79.01","0.42","taxonomic classification defined by topology and ANI","-","GCA_003560975.1, s__Wenzhouxiangella s...","91.52","0.9547065303","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.35.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Salinarimonas;s__","-","-","-","-","-","GCF_900094735.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Salinarimonas;s__Salinarimonas sp900094735","93.08","0.94","taxonomic classification defined by topology and ANI","-","GCA_003567055.1, s__Salinarimonas sp00...","94.12","0.9939466227","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.49.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__","-","-","-","-","-","GCF_002925845.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius nitratireducens","87.64","0.79","taxonomic classification defined by topology and ANI","-","GCA_002421985.1, s__Roseovarius sp0024...","78.38","0.9940885782","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.52.contigs__","d__Bacteria;p__Spirochaetota;c__UBA12135;o__UBA12135;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","71.99","0.6280792258","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.66.contigs__","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","89","0.7821430196","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.84.contigs__","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SURF-3;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","80.05","0.7903671771","Genome has more than 11.7% of markers with multiple hits"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.93.contigs__","d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__BM507;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","70.48","0.8162736374","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_concoct_out.98.contigs__","d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","92.22","0.7095691225","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_maxbin.001.contigs__","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__S36-B12;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","81.74","0.9258338878","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.10.contigs__","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Rhodohalobacter;s__","-","-","-","-","-","GCA_001564065.1","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Rhodohalobacter;s__Rhodohalobacter sp001564065","79.93","0.38","taxonomic classification defined by topology and ANI","-","GCF_002834295.1, s__Rhodohalobacter ba...","62.1","0.9826717056","Genome has more than 15.8% of markers with multiple hits"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.12.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__","-","-","-","-","-","GCA_002722315.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__GCA-2722315 sp002722315","83.9","0.6","taxonomic classification defined by topology and ANI","-","GCF_012272825.1, s__GCA-2722315 sp0122...","89.6","0.9808330843","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.24.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12077;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","83.78","0.8061859877","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.32.contigs__","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SURF-3;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","62.68","0.7887437521","Genome has more than 15.8% of markers with multiple hits"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.50.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PWYM01;f__PWYM01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","82.75","0.8987171372","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.61.contigs__","d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","83.84","0.5373702455","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.7.contigs__","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","84.46","0.8451728587","-"
"Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.9.contigs__","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","74.25","0.8437258354","Genome has more than 10.0% of markers with multiple hits"
"Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_concoct_out.110.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__","-","-","-","-","-","GCF_004785685.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter confluentis","80.33","0.53","taxonomic classification defined by topology and ANI","-","GCF_008795985.1, s__Marinobacter halot...","92.71","0.9884748339","-"
"Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_concoct_out.40.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Tangfeifania;s__","-","-","-","-","-","GCF_900141875.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Tangfeifania;s__Tangfeifania diversioriginum","79.59","0.46","taxonomic classification defined by topology and ANI","-","-","87.53","0.9627964065","-"
"Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.10.contigs__","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__SW132;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","97.14","0.9286467328","-"
"Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.13.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","94.7","0.8918437199","-"
"Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.22.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__","-","-","-","-","-","GCA_002722315.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__GCA-2722315 sp002722315","83.49","0.64","taxonomic classification defined by topology and ANI","-","GCF_012272825.1, s__GCA-2722315 sp0122...","74.01","0.9816471608","-"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.124.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__","-","-","-","-","-","GCA_002699145.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__Halioglobus sp002699145","77.65","0.32","taxonomic classification defined by topology and ANI","-","-","94.98","0.9470602268","-"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.143.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__","-","-","-","-","-","GCF_900142765.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius litoreus","88.67","0.8","taxonomic classification defined by topology and ANI","-","GCF_900172255.1, s__Roseovarius haloto...","72.56","0.9916375711","Genome has more than 15.0% of markers with multiple hits"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.32.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Maliponia;s__","-","-","-","-","-","GCF_900184945.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Maliponia;s__Maliponia aquimaris","79.74","0.54","taxonomic classification defined by topology and ANI","-","-","71.05","0.9762775088","-"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.39.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","81.42","0.7473142389","-"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.4.contigs__","d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Crateriforma;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","70.18","0.960645513","-"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_concoct_out.80.contigs__","d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","81.14","0.6581852027","-"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.10.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_014637725.1, s__Marivita lacus, 95...","92.73","0.9832125199","-"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.16.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__","-","-","-","-","-","GCF_900109855.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius tolerans","92.1","0.69","taxonomic classification defined by topology and ANI","-","GCF_002072155.1, s__Roseovarius sp0020...","73.08","0.9937090821","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.19.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseicyclus;s__","-","-","-","-","-","GCA_001314805.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseicyclus;s__Roseicyclus sp001314805","91.31","0.87","taxonomic classification defined by topology and ANI","-","GCF_012395815.1, s__Roseicyclus sp0123...","95.89","0.991166887","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.20.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Salinivirgaceae;g__Salinivirga;s__","-","-","-","-","-","GCF_001443605.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Salinivirgaceae;g__Salinivirga;s__Salinivirga cyanobacteriivorans","94.57","0.91","taxonomic classification defined by topology and ANI","-","-","92.57","0.993564371","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.38.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__","-","-","-","-","-","GCF_009669325.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius bejariae","85.63","0.74","taxonomic classification defined by topology and ANI","-","GCF_900142665.1, s__Roseovarius pacifi...","93.55","0.9831889577","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.43.contigs__","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nitriliruptorales;f__Nitriliruptoraceae;g__T1Sed10-7;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003554005.1, s__T1Sed10-7 sp003554...","51.24","0.9492173035","Genome has more than 22.5% of markers with multiple hits"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.44.contigs__","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SURF-3;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","90.27","0.788255575","-"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.45.contigs__","d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__SLDV01;s__","-","-","-","-","-","GCA_007125165.1","d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__SLDV01;s__SLDV01 sp007125165","79.11","0.49","taxonomic classification defined by topology and ANI","-","-","92.67","0.972022119","-"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.50.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PWYM01;f__PWYM01;g__XN24;s__","-","-","-","-","-","GCF_011064545.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PWYM01;f__PWYM01;g__XN24;s__XN24 sp011064545","90.36","0.84","taxonomic classification defined by topology and ANI","-","GCF_011089885.1, s__XN24 sp011089885, ...","97.97","0.9919619269","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.52.contigs__","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","93.31","0.7081611565","-"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.55.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__","-","-","-","-","-","GCF_011601345.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius gahaiensis","88.52","0.83","taxonomic classification defined by topology and ANI","-","GCF_900142665.1, s__Roseovarius pacifi...","93.59","0.9907116121","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.62.contigs__","d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","75.34","0.8141613803","-"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.118.contigs__","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","70.3","0.947296412","-"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.37.contigs__","d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","85.96","0.7578758282","-"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.65.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__","-","-","-","-","-","GCA_003030785.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter sp003030785","93","0.7","taxonomic classification defined by topology and ANI","-","GCF_001650915.1, s__Marinobacter sp001...","88.29","0.995507308","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.7.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","94.3","0.9244723813","-"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.71.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","95.77","0.8786844435","-"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.88.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__","-","-","-","-","-","GCA_009908745.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__Phaeodactylibacter sp009908745","89.66","0.7","taxonomic classification defined by topology and ANI","-","-","71.39","0.9865171216","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.95.contigs__","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCA_011390615.1, s__Desulfotignum sp01...","86.98","0.9880198165","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.98.contigs__","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","84.2","0.8610020376","-"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_maxbin.062.contigs__","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__4572-130;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","85.75","0.8695812862","-"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.17.contigs__","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__","-","-","-","-","-","GCF_900109855.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius tolerans","90.98","0.72","taxonomic classification defined by topology and ANI","-","GCF_002072155.1, s__Roseovarius sp0020...","87.47","0.9926251674","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.25.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","86.62","0.7510909752","-"
